code,name,namew,type,parent,parent_type
N10000101,BT29 4HF,,postcode,N10000101,dea
N10000101,BT29 4HG,,postcode,N10000101,dea
N10000101,BT29 4HN,,postcode,N10000101,dea
N10000101,BT29 4HQ,,postcode,N10000101,dea
N10000101,BT29 4JJ,,postcode,N10000101,dea
N10000101,BT29 4JL,,postcode,N10000101,dea
N10000101,BT29 4JR,,postcode,N10000101,dea
N10000101,BT29 4JS,,postcode,N10000101,dea
N10000101,BT29 4JT,,postcode,N10000101,dea
N10000101,BT29 4JU,,postcode,N10000101,dea
N10000101,BT29 4JX,,postcode,N10000101,dea
N10000101,BT29 4JY,,postcode,N10000101,dea
N10000101,BT29 4JZ,,postcode,N10000101,dea
N10000101,BT29 4LA,,postcode,N10000101,dea
N10000101,BT29 4LE,,postcode,N10000101,dea
N10000101,BT29 4NT,,postcode,N10000101,dea
N10000101,BT29 4PF,,postcode,N10000101,dea
N10000101,BT29 4PS,,postcode,N10000101,dea
N10000101,BT29 4PT,,postcode,N10000101,dea
N10000101,BT29 4PU,,postcode,N10000101,dea
N10000101,BT29 4PX,,postcode,N10000101,dea
N10000101,BT29 4PY,,postcode,N10000101,dea
N10000101,BT29 4QA,,postcode,N10000101,dea
N10000101,BT29 4QB,,postcode,N10000101,dea
N10000101,BT29 4QD,,postcode,N10000101,dea
N10000101,BT29 4QE,,postcode,N10000101,dea
N10000101,BT29 4QF,,postcode,N10000101,dea
N10000101,BT29 4QG,,postcode,N10000101,dea
N10000101,BT29 4QH,,postcode,N10000101,dea
N10000101,BT29 4QN,,postcode,N10000101,dea
N10000101,BT29 4QP,,postcode,N10000101,dea
N10000101,BT29 4QQ,,postcode,N10000101,dea
N10000101,BT29 4QR,,postcode,N10000101,dea
N10000101,BT29 4QS,,postcode,N10000101,dea
N10000101,BT29 4QT,,postcode,N10000101,dea
N10000101,BT29 4QU,,postcode,N10000101,dea
N10000101,BT29 4QW,,postcode,N10000101,dea
N10000101,BT29 4QX,,postcode,N10000101,dea
N10000101,BT29 4QY,,postcode,N10000101,dea
N10000101,BT29 4QZ,,postcode,N10000101,dea
N10000101,BT29 4RA,,postcode,N10000101,dea
N10000101,BT29 4RB,,postcode,N10000101,dea
N10000101,BT29 4RD,,postcode,N10000101,dea
N10000101,BT29 4RE,,postcode,N10000101,dea
N10000101,BT29 4RF,,postcode,N10000101,dea
N10000101,BT29 4RG,,postcode,N10000101,dea
N10000101,BT29 4RH,,postcode,N10000101,dea
N10000101,BT29 4RJ,,postcode,N10000101,dea
N10000101,BT29 4RL,,postcode,N10000101,dea
N10000101,BT29 4RN,,postcode,N10000101,dea
N10000101,BT29 4RQ,,postcode,N10000101,dea
N10000101,BT29 4RR,,postcode,N10000101,dea
N10000101,BT29 4RS,,postcode,N10000101,dea
N10000101,BT29 4RT,,postcode,N10000101,dea
N10000101,BT29 4RU,,postcode,N10000101,dea
N10000101,BT29 4RW,,postcode,N10000101,dea
N10000101,BT29 4RX,,postcode,N10000101,dea
N10000101,BT29 4RY,,postcode,N10000101,dea
N10000101,BT29 4RZ,,postcode,N10000101,dea
N10000101,BT29 4SA,,postcode,N10000101,dea
N10000101,BT29 4SB,,postcode,N10000101,dea
N10000101,BT29 4SD,,postcode,N10000101,dea
N10000101,BT29 4SE,,postcode,N10000101,dea
N10000101,BT29 4SF,,postcode,N10000101,dea
N10000101,BT29 4SG,,postcode,N10000101,dea
N10000101,BT29 4SH,,postcode,N10000101,dea
N10000101,BT29 4SJ,,postcode,N10000101,dea
N10000101,BT29 4SL,,postcode,N10000101,dea
N10000101,BT29 4SN,,postcode,N10000101,dea
N10000101,BT29 4SP,,postcode,N10000101,dea
N10000101,BT29 4SQ,,postcode,N10000101,dea
N10000101,BT29 4SR,,postcode,N10000101,dea
N10000101,BT29 4SS,,postcode,N10000101,dea
N10000101,BT29 4ST,,postcode,N10000101,dea
N10000101,BT29 4SU,,postcode,N10000101,dea
N10000101,BT29 4SW,,postcode,N10000101,dea
N10000101,BT29 4SX,,postcode,N10000101,dea
N10000101,BT29 4SY,,postcode,N10000101,dea
N10000101,BT29 4SZ,,postcode,N10000101,dea
N10000101,BT29 4TA,,postcode,N10000101,dea
N10000101,BT29 4TB,,postcode,N10000101,dea
N10000101,BT29 4TD,,postcode,N10000101,dea
N10000101,BT29 4TE,,postcode,N10000101,dea
N10000101,BT29 4TF,,postcode,N10000101,dea
N10000101,BT29 4TG,,postcode,N10000101,dea
N10000101,BT29 4TH,,postcode,N10000101,dea
N10000101,BT29 4TJ,,postcode,N10000101,dea
N10000101,BT29 4TL,,postcode,N10000101,dea
N10000101,BT29 4TN,,postcode,N10000101,dea
N10000101,BT29 4TP,,postcode,N10000101,dea
N10000101,BT29 4TQ,,postcode,N10000101,dea
N10000101,BT29 4TR,,postcode,N10000101,dea
N10000101,BT29 4TT,,postcode,N10000101,dea
N10000101,BT29 4TW,,postcode,N10000101,dea
N10000101,BT29 4UF,,postcode,N10000101,dea
N10000101,BT29 4UG,,postcode,N10000101,dea
N10000101,BT29 4UH,,postcode,N10000101,dea
N10000101,BT29 4UJ,,postcode,N10000101,dea
N10000101,BT29 4UL,,postcode,N10000101,dea
N10000101,BT29 4UN,,postcode,N10000101,dea
N10000101,BT29 4UP,,postcode,N10000101,dea
N10000101,BT29 4UQ,,postcode,N10000101,dea
N10000101,BT29 4UR,,postcode,N10000101,dea
N10000101,BT29 4US,,postcode,N10000101,dea
N10000101,BT29 4UU,,postcode,N10000101,dea
N10000101,BT29 4UW,,postcode,N10000101,dea
N10000101,BT29 4UX,,postcode,N10000101,dea
N10000101,BT29 4UY,,postcode,N10000101,dea
N10000101,BT29 4UZ,,postcode,N10000101,dea
N10000101,BT29 4WA,,postcode,N10000101,dea
N10000101,BT29 4WF,,postcode,N10000101,dea
N10000101,BT29 4WG,,postcode,N10000101,dea
N10000101,BT29 4WH,,postcode,N10000101,dea
N10000101,BT29 4WJ,,postcode,N10000101,dea
N10000101,BT29 4WL,,postcode,N10000101,dea
N10000101,BT29 4WN,,postcode,N10000101,dea
N10000101,BT29 4WP,,postcode,N10000101,dea
N10000101,BT29 4WQ,,postcode,N10000101,dea
N10000101,BT29 4WS,,postcode,N10000101,dea
N10000101,BT29 4WT,,postcode,N10000101,dea
N10000101,BT29 4WU,,postcode,N10000101,dea
N10000101,BT29 4WW,,postcode,N10000101,dea
N10000101,BT29 4WZ,,postcode,N10000101,dea
N10000101,BT29 4XA,,postcode,N10000101,dea
N10000101,BT29 4XB,,postcode,N10000101,dea
N10000101,BT29 4XD,,postcode,N10000101,dea
N10000101,BT29 4XE,,postcode,N10000101,dea
N10000101,BT29 4XF,,postcode,N10000101,dea
N10000101,BT29 4XG,,postcode,N10000101,dea
N10000101,BT29 4XH,,postcode,N10000101,dea
N10000101,BT29 4XJ,,postcode,N10000101,dea
N10000101,BT29 4XL,,postcode,N10000101,dea
N10000101,BT29 4XN,,postcode,N10000101,dea
N10000101,BT29 4XP,,postcode,N10000101,dea
N10000101,BT29 4XQ,,postcode,N10000101,dea
N10000101,BT29 4XR,,postcode,N10000101,dea
N10000101,BT29 4XS,,postcode,N10000101,dea
N10000101,BT29 4XT,,postcode,N10000101,dea
N10000101,BT29 4XU,,postcode,N10000101,dea
N10000101,BT29 4XW,,postcode,N10000101,dea
N10000101,BT29 4XX,,postcode,N10000101,dea
N10000101,BT29 4XY,,postcode,N10000101,dea
N10000101,BT29 4XZ,,postcode,N10000101,dea
N10000101,BT29 4YA,,postcode,N10000101,dea
N10000101,BT29 4YD,,postcode,N10000101,dea
N10000101,BT29 4YE,,postcode,N10000101,dea
N10000101,BT29 4YF,,postcode,N10000101,dea
N10000101,BT29 4YG,,postcode,N10000101,dea
N10000101,BT29 4YH,,postcode,N10000101,dea
N10000101,BT29 4YJ,,postcode,N10000101,dea
N10000101,BT29 4YL,,postcode,N10000101,dea
N10000101,BT29 4YN,,postcode,N10000101,dea
N10000101,BT29 4YP,,postcode,N10000101,dea
N10000101,BT29 4YQ,,postcode,N10000101,dea
N10000101,BT29 4YR,,postcode,N10000101,dea
N10000101,BT29 4YS,,postcode,N10000101,dea
N10000101,BT29 4YT,,postcode,N10000101,dea
N10000101,BT29 4YU,,postcode,N10000101,dea
N10000101,BT29 4YW,,postcode,N10000101,dea
N10000101,BT29 4YX,,postcode,N10000101,dea
N10000101,BT29 4YY,,postcode,N10000101,dea
N10000101,BT29 4YZ,,postcode,N10000101,dea
N10000101,BT29 4ZA,,postcode,N10000101,dea
N10000101,BT29 4ZF,,postcode,N10000101,dea
N10000101,BT29 4ZG,,postcode,N10000101,dea
N10000101,BT29 4ZL,,postcode,N10000101,dea
N10000101,BT29 4ZN,,postcode,N10000101,dea
N10000101,BT29 4ZR,,postcode,N10000101,dea
N10000101,BT29 4ZT,,postcode,N10000101,dea
N10000101,BT29 4ZU,,postcode,N10000101,dea
N10000101,BT29 4ZW,,postcode,N10000101,dea
N10000101,BT29 4ZX,,postcode,N10000101,dea
N10000101,BT29 4ZY,,postcode,N10000101,dea
N10000101,BT36 4AA,,postcode,N10000101,dea
N10000101,BT36 4AB,,postcode,N10000101,dea
N10000101,BT36 4AD,,postcode,N10000101,dea
N10000101,BT36 4AE,,postcode,N10000101,dea
N10000101,BT36 4AF,,postcode,N10000101,dea
N10000101,BT36 4AG,,postcode,N10000101,dea
N10000101,BT36 4AH,,postcode,N10000101,dea
N10000101,BT36 4AL,,postcode,N10000101,dea
N10000101,BT36 4AN,,postcode,N10000101,dea
N10000101,BT36 4AP,,postcode,N10000101,dea
N10000101,BT36 4AQ,,postcode,N10000101,dea
N10000101,BT36 4AR,,postcode,N10000101,dea
N10000101,BT36 4AS,,postcode,N10000101,dea
N10000101,BT36 4AT,,postcode,N10000101,dea
N10000101,BT36 4AU,,postcode,N10000101,dea
N10000101,BT36 4AW,,postcode,N10000101,dea
N10000101,BT36 4AX,,postcode,N10000101,dea
N10000101,BT36 4AY,,postcode,N10000101,dea
N10000101,BT36 4BB,,postcode,N10000101,dea
N10000101,BT36 4BD,,postcode,N10000101,dea
N10000101,BT36 4BE,,postcode,N10000101,dea
N10000101,BT36 4BF,,postcode,N10000101,dea
N10000101,BT36 4BG,,postcode,N10000101,dea
N10000101,BT36 4BX,,postcode,N10000101,dea
N10000101,BT36 4DG,,postcode,N10000101,dea
N10000101,BT36 4EW,,postcode,N10000101,dea
N10000101,BT36 4FA,,postcode,N10000101,dea
N10000101,BT36 4FB,,postcode,N10000101,dea
N10000101,BT36 4FD,,postcode,N10000101,dea
N10000101,BT36 4FE,,postcode,N10000101,dea
N10000101,BT36 4FH,,postcode,N10000101,dea
N10000101,BT36 4FR,,postcode,N10000101,dea
N10000101,BT36 4FS,,postcode,N10000101,dea
N10000101,BT36 4FT,,postcode,N10000101,dea
N10000101,BT36 4GN,,postcode,N10000101,dea
N10000101,BT36 4GP,,postcode,N10000101,dea
N10000101,BT36 4GS,,postcode,N10000101,dea
N10000101,BT36 4GX,,postcode,N10000101,dea
N10000101,BT36 4LA,,postcode,N10000101,dea
N10000101,BT36 4LB,,postcode,N10000101,dea
N10000101,BT36 4NA,,postcode,N10000101,dea
N10000101,BT36 4NP,,postcode,N10000101,dea
N10000101,BT36 4NQ,,postcode,N10000101,dea
N10000101,BT36 4NR,,postcode,N10000101,dea
N10000101,BT36 4NS,,postcode,N10000101,dea
N10000101,BT36 4NT,,postcode,N10000101,dea
N10000101,BT36 4NU,,postcode,N10000101,dea
N10000101,BT36 4NW,,postcode,N10000101,dea
N10000101,BT36 4NX,,postcode,N10000101,dea
N10000101,BT36 4NY,,postcode,N10000101,dea
N10000101,BT36 4NZ,,postcode,N10000101,dea
N10000101,BT36 4PA,,postcode,N10000101,dea
N10000101,BT36 4PB,,postcode,N10000101,dea
N10000101,BT36 4PE,,postcode,N10000101,dea
N10000101,BT36 4PF,,postcode,N10000101,dea
N10000101,BT36 4PG,,postcode,N10000101,dea
N10000101,BT36 4PH,,postcode,N10000101,dea
N10000101,BT36 4PJ,,postcode,N10000101,dea
N10000101,BT36 4PL,,postcode,N10000101,dea
N10000101,BT36 4PN,,postcode,N10000101,dea
N10000101,BT36 4PP,,postcode,N10000101,dea
N10000101,BT36 4PS,,postcode,N10000101,dea
N10000101,BT36 4PT,,postcode,N10000101,dea
N10000101,BT36 4PU,,postcode,N10000101,dea
N10000101,BT36 4PW,,postcode,N10000101,dea
N10000101,BT36 4PX,,postcode,N10000101,dea
N10000101,BT36 4PY,,postcode,N10000101,dea
N10000101,BT36 4PZ,,postcode,N10000101,dea
N10000101,BT36 4QA,,postcode,N10000101,dea
N10000101,BT36 4QB,,postcode,N10000101,dea
N10000101,BT36 4QD,,postcode,N10000101,dea
N10000101,BT36 4QE,,postcode,N10000101,dea
N10000101,BT36 4QF,,postcode,N10000101,dea
N10000101,BT36 4QG,,postcode,N10000101,dea
N10000101,BT36 4QH,,postcode,N10000101,dea
N10000101,BT36 4QJ,,postcode,N10000101,dea
N10000101,BT36 4QL,,postcode,N10000101,dea
N10000101,BT36 4QN,,postcode,N10000101,dea
N10000101,BT36 4QP,,postcode,N10000101,dea
N10000101,BT36 4QQ,,postcode,N10000101,dea
N10000101,BT36 4QR,,postcode,N10000101,dea
N10000101,BT36 4QS,,postcode,N10000101,dea
N10000101,BT36 4QT,,postcode,N10000101,dea
N10000101,BT36 4QU,,postcode,N10000101,dea
N10000101,BT36 4QW,,postcode,N10000101,dea
N10000101,BT36 4QX,,postcode,N10000101,dea
N10000101,BT36 4QY,,postcode,N10000101,dea
N10000101,BT36 4QZ,,postcode,N10000101,dea
N10000101,BT36 4RA,,postcode,N10000101,dea
N10000101,BT36 4RB,,postcode,N10000101,dea
N10000101,BT36 4RE,,postcode,N10000101,dea
N10000101,BT36 4RF,,postcode,N10000101,dea
N10000101,BT36 4RG,,postcode,N10000101,dea
N10000101,BT36 4RH,,postcode,N10000101,dea
N10000101,BT36 4RJ,,postcode,N10000101,dea
N10000101,BT36 4RL,,postcode,N10000101,dea
N10000101,BT36 4RN,,postcode,N10000101,dea
N10000101,BT36 4RP,,postcode,N10000101,dea
N10000101,BT36 4RQ,,postcode,N10000101,dea
N10000101,BT36 4RR,,postcode,N10000101,dea
N10000101,BT36 4RS,,postcode,N10000101,dea
N10000101,BT36 4RT,,postcode,N10000101,dea
N10000101,BT36 4RU,,postcode,N10000101,dea
N10000101,BT36 4RX,,postcode,N10000101,dea
N10000101,BT36 4RY,,postcode,N10000101,dea
N10000101,BT36 4SD,,postcode,N10000101,dea
N10000101,BT36 4SE,,postcode,N10000101,dea
N10000101,BT36 4ST,,postcode,N10000101,dea
N10000101,BT36 4SU,,postcode,N10000101,dea
N10000101,BT36 4SX,,postcode,N10000101,dea
N10000101,BT36 4SY,,postcode,N10000101,dea
N10000101,BT36 4SZ,,postcode,N10000101,dea
N10000101,BT36 4TA,,postcode,N10000101,dea
N10000101,BT36 4TB,,postcode,N10000101,dea
N10000101,BT36 4TD,,postcode,N10000101,dea
N10000101,BT36 4TE,,postcode,N10000101,dea
N10000101,BT36 4TF,,postcode,N10000101,dea
N10000101,BT36 4TQ,,postcode,N10000101,dea
N10000101,BT36 4TX,,postcode,N10000101,dea
N10000101,BT36 4TY,,postcode,N10000101,dea
N10000101,BT36 4TZ,,postcode,N10000101,dea
N10000101,BT36 4UA,,postcode,N10000101,dea
N10000101,BT36 4UB,,postcode,N10000101,dea
N10000101,BT36 4UD,,postcode,N10000101,dea
N10000101,BT36 4UE,,postcode,N10000101,dea
N10000101,BT36 4UU,,postcode,N10000101,dea
N10000101,BT36 4UX,,postcode,N10000101,dea
N10000101,BT36 4WB,,postcode,N10000101,dea
N10000101,BT36 4WD,,postcode,N10000101,dea
N10000101,BT36 4WE,,postcode,N10000101,dea
N10000101,BT36 4WF,,postcode,N10000101,dea
N10000101,BT36 4WG,,postcode,N10000101,dea
N10000101,BT36 4WL,,postcode,N10000101,dea
N10000101,BT36 4WQ,,postcode,N10000101,dea
N10000101,BT36 4WS,,postcode,N10000101,dea
N10000101,BT36 4WU,,postcode,N10000101,dea
N10000101,BT36 4WW,,postcode,N10000101,dea
N10000101,BT36 4WX,,postcode,N10000101,dea
N10000101,BT36 4WZ,,postcode,N10000101,dea
N10000101,BT36 4XA,,postcode,N10000101,dea
N10000101,BT36 4XB,,postcode,N10000101,dea
N10000101,BT36 4XD,,postcode,N10000101,dea
N10000101,BT36 4XS,,postcode,N10000101,dea
N10000101,BT36 4XU,,postcode,N10000101,dea
N10000101,BT36 4XX,,postcode,N10000101,dea
N10000101,BT36 4XY,,postcode,N10000101,dea
N10000101,BT36 4YA,,postcode,N10000101,dea
N10000101,BT36 4YB,,postcode,N10000101,dea
N10000101,BT36 4YD,,postcode,N10000101,dea
N10000101,BT36 4YE,,postcode,N10000101,dea
N10000101,BT36 4YF,,postcode,N10000101,dea
N10000101,BT36 4YG,,postcode,N10000101,dea
N10000101,BT36 4YH,,postcode,N10000101,dea
N10000101,BT36 4YL,,postcode,N10000101,dea
N10000101,BT36 4YN,,postcode,N10000101,dea
N10000101,BT36 4YP,,postcode,N10000101,dea
N10000101,BT36 4YQ,,postcode,N10000101,dea
N10000101,BT36 4YX,,postcode,N10000101,dea
N10000101,BT36 4YY,,postcode,N10000101,dea
N10000101,BT36 4YZ,,postcode,N10000101,dea
N10000101,BT36 5PW,,postcode,N10000101,dea
N10000101,BT36 5ST,,postcode,N10000101,dea
N10000101,BT36 7SJ,,postcode,N10000101,dea
N10000101,BT36 7SL,,postcode,N10000101,dea
N10000101,BT36 7WE,,postcode,N10000101,dea
